h5_file,dataset_path,shape,dtype,size_mb,attrs
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/DNB_BRDF-Corrected_NTL,"(2400, 2400)",float32,21.9727,"{""_FillValue"": ""[-999.9]"", ""long_name"": ""b'BRDF Corrected DNB Radiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'nWatts/(cm^2 sr) \\n'"", ""valid_range"": ""b'>=0.0 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/DNB_Lunar_Irradiance,"(2400, 2400)",uint16,10.9863,"{""_FillValue"": ""[65535]"", ""long_name"": ""b'Lunar Irradiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[0.1]"", ""units"": ""b'nWatts/cm^2 \\n'"", ""valid_range"": ""b'0-65534 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Gap_Filled_DNB_BRDF-Corrected_NTL,"(2400, 2400)",float32,21.9727,"{""_FillValue"": ""[-999.9]"", ""long_name"": ""b'Gap Filled BRDF Corrected DNB Radiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'nWatts/(cm^2 sr) \\n'"", ""valid_range"": ""b'>=0.0 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Latest_High_Quality_Retrieval,"(2400, 2400)",uint8,5.4932,"{""_FillValue"": ""[255]"", ""long_name"": ""b'The Latest High Quality BRDF Corrected DNB Radiance Retrieval'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'Number of Days \\n'"", ""valid_range"": ""b'0 - 254 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Mandatory_Quality_Flag,"(2400, 2400)",uint8,5.4932,"{""Description"": ""b'00\\tHigh-Quality\\tMain Algorithm \\n01\\tPoor-Quality\\tMain Algorithm (Outlier, Potential cloud contamination or other issues)\\n02\\tPoor-Quality\\tMain Algorithm (high solar zenith angle 102-108 degrees)\\n03\\tPoor-Quality\\tMain Algorithm (Lunar eclipse)\\n04\\tPoor-Quality\\tMain Algorithm (Aurora)\\n05\\"", ""_FillValue"": ""[255]"", ""long_name"": ""b'Mandatory Quality Flag of BRDF Corrected DNB Radiance'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 5 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/QF_Cloud_Mask,"(2400, 2400)",uint16,10.9863,"{""Description"": ""b'bit     Flag description key: \\n0\\t    Day/Night \\n       0=Night  1=Day \\n1-3\\t    Land/Water Background \\n\\t\\t000=Land & Desert \\n\\t\\t001=Land no Desert \\n\\t\\t010=Inland Water \\n\\t\\t011=Sea Water \\n\\t\\t101=Coastal \\n4-5\\t    Cloud Mask Quality \\n\\t\\t00=Poor\\n\\t\\t01=Low \\n\\t\\t10=Medium \\n\\t\\t11=H"", ""_FillValue"": ""[65535]"", ""long_name"": ""b'Cloud Mask Status'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 65534 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Snow_Flag,"(2400, 2400)",uint8,5.4932,"{""Description"": ""b'0 = No snow/ice \\n  1 = snow/ice \\n'"", ""_FillValue"": ""[255]"", ""long_name"": ""b'Snow/Ice Status'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 1 \\n'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/lat,"(2400,)",float64,0.0183,"{""_CoordinateAxisType"": ""b'Lat'"", ""_FillValue"": ""b'-999.9'"", ""long_name"": ""b'latitude'"", ""units"": ""b'degrees_north'"", ""valid_max"": ""b'90.0'"", ""valid_min"": ""b'-90.0'""}"
战前 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/lon,"(2400,)",float64,0.0183,"{""_CoordinateAxisType"": ""b'Lon'"", ""_FillValue"": ""b'-999.9'"", ""long_name"": ""b'longitude'"", ""units"": ""b'degrees_east'"", ""valid_max"": ""b'180.0'"", ""valid_min"": ""b'-180.0'""}"
战前 (VNP46A3),HDFEOS INFORMATION/StructMetadata.0,(),|S32000,0.0305,{}
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/DNB_BRDF-Corrected_NTL,"(2400, 2400)",float32,21.9727,"{""_FillValue"": ""[-999.9]"", ""long_name"": ""b'BRDF Corrected DNB Radiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'nWatts/(cm^2 sr) \\n'"", ""valid_range"": ""b'>=0.0 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/DNB_Lunar_Irradiance,"(2400, 2400)",uint16,10.9863,"{""_FillValue"": ""[65535]"", ""long_name"": ""b'Lunar Irradiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[0.1]"", ""units"": ""b'nWatts/cm^2 \\n'"", ""valid_range"": ""b'0-65534 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Gap_Filled_DNB_BRDF-Corrected_NTL,"(2400, 2400)",float32,21.9727,"{""_FillValue"": ""[-999.9]"", ""long_name"": ""b'Gap Filled BRDF Corrected DNB Radiance'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'nWatts/(cm^2 sr) \\n'"", ""valid_range"": ""b'>=0.0 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Latest_High_Quality_Retrieval,"(2400, 2400)",uint8,5.4932,"{""_FillValue"": ""[255]"", ""long_name"": ""b'The Latest High Quality BRDF Corrected DNB Radiance Retrieval'"", ""offset"": ""[0.]"", ""scale_factor"": ""[1.]"", ""units"": ""b'Number of Days \\n'"", ""valid_range"": ""b'0 - 254 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Mandatory_Quality_Flag,"(2400, 2400)",uint8,5.4932,"{""Description"": ""b'00\\tHigh-Quality\\tMain Algorithm \\n01\\tPoor-Quality\\tMain Algorithm (Outlier, Potential cloud contamination or other issues)\\n02\\tPoor-Quality\\tMain Algorithm (high solar zenith angle 102-108 degrees)\\n03\\tPoor-Quality\\tMain Algorithm (Lunar eclipse)\\n04\\tPoor-Quality\\tMain Algorithm (Aurora)\\n05\\"", ""_FillValue"": ""[255]"", ""long_name"": ""b'Mandatory Quality Flag of BRDF Corrected DNB Radiance'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 5 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/QF_Cloud_Mask,"(2400, 2400)",uint16,10.9863,"{""Description"": ""b'bit     Flag description key: \\n0\\t    Day/Night \\n       0=Night  1=Day \\n1-3\\t    Land/Water Background \\n\\t\\t000=Land & Desert \\n\\t\\t001=Land no Desert \\n\\t\\t010=Inland Water \\n\\t\\t011=Sea Water \\n\\t\\t101=Coastal \\n4-5\\t    Cloud Mask Quality \\n\\t\\t00=Poor\\n\\t\\t01=Low \\n\\t\\t10=Medium \\n\\t\\t11=H"", ""_FillValue"": ""[65535]"", ""long_name"": ""b'Cloud Mask Status'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 65534 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/Snow_Flag,"(2400, 2400)",uint8,5.4932,"{""Description"": ""b'0 = No snow/ice \\n  1 = snow/ice \\n'"", ""_FillValue"": ""[255]"", ""long_name"": ""b'Snow/Ice Status'"", ""units"": ""b'Flag, no units \\n'"", ""valid_range"": ""b'0 - 1 \\n'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/lat,"(2400,)",float64,0.0183,"{""_CoordinateAxisType"": ""b'Lat'"", ""_FillValue"": ""b'-999.9'"", ""long_name"": ""b'latitude'"", ""units"": ""b'degrees_north'"", ""valid_max"": ""b'90.0'"", ""valid_min"": ""b'-90.0'""}"
战后 (VNP46A3),HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data Fields/lon,"(2400,)",float64,0.0183,"{""_CoordinateAxisType"": ""b'Lon'"", ""_FillValue"": ""b'-999.9'"", ""long_name"": ""b'longitude'"", ""units"": ""b'degrees_east'"", ""valid_max"": ""b'180.0'"", ""valid_min"": ""b'-180.0'""}"
战后 (VNP46A3),HDFEOS INFORMATION/StructMetadata.0,(),|S32000,0.0305,{}
